width, height, aspect_ratio, area, confidence, type
29.9757,75.3747,0.397689,2259.41,0.86047,pedestrian
20.5674,81.4697,0.252454,1675.62,0.625231,pedestrian
32.0906,102.733,0.312368,3296.78,0.794935,pedestrian
32.0668,88.7216,0.361431,2845.02,0.675039,pedestrian
29.9428,78.591,0.380995,2353.23,0.822552,pedestrian
31.9717,64.2919,0.49729,2055.52,0.786002,pedestrian
34.2506,79.953,0.428384,2738.44,0.884277,pedestrian
28.7843,85.0658,0.338377,2448.56,0.976536,pedestrian
21.0837,83.2722,0.253191,1755.69,0.665375,pedestrian
37.7327,74.031,0.509687,2793.39,0.634237,pedestrian
40.5944,70.5048,0.575768,2862.1,0.74264,pedestrian
21.8915,93.896,0.233146,2055.53,0.627082,pedestrian
23.293,68.5228,0.33993,1596.1,0.647645,pedestrian
27.7535,72.7182,0.381658,2018.18,0.77641,pedestrian
34.4142,84.1864,0.408786,2897.21,0.648255,pedestrian
27.4475,81.9535,0.334916,2249.42,0.502592,pedestrian
22.2428,72.6705,0.306078,1616.4,0.813947,pedestrian
29.3613,100.003,0.293603,2936.23,0.836013,pedestrian
27.2203,64.3944,0.422712,1752.83,0.664076,pedestrian
30.7045,61.1969,0.501734,1879.02,0.663326,pedestrian
30.7492,83.5442,0.368059,2568.91,0.913934,pedestrian
29.2438,67.0878,0.435903,1961.9,0.849756,pedestrian
36.052,76.2548,0.472783,2749.14,0.569177,pedestrian
20.047,88.4001,0.226776,1772.16,0.592167,pedestrian
23.4604,71.4245,0.328465,1675.65,0.540436,pedestrian
26.6129,76.5687,0.347569,2037.72,0.546937,pedestrian
38.9065,64.5117,0.603091,2509.92,0.591433,pedestrian
32.8895,82.2685,0.399782,2705.77,0.717836,pedestrian
30.9193,101.346,0.305085,3133.56,0.86502,pedestrian
27.0356,77.3659,0.349451,2091.63,0.547078,pedestrian
30.4328,73.2,0.415749,2227.68,0.655707,pedestrian
35.484,75.0159,0.473019,2661.86,0.524029,pedestrian
27.2537,101.131,0.269489,2756.2,0.974573,pedestrian
32.623,80.8416,0.403543,2637.3,0.841982,pedestrian
28.378,111.87,0.253669,3174.66,0.807926,pedestrian
34.6312,90.3251,0.383406,3128.06,0.786684,pedestrian
31.7203,86.0784,0.368505,2730.44,0.56425,pedestrian
32.3353,84.4689,0.382807,2731.33,0.825742,pedestrian
32.4061,91.3702,0.354668,2960.95,0.603342,pedestrian
26.5031,78.8858,0.335968,2090.72,0.809127,pedestrian
25.5846,75.8149,0.337461,1939.69,0.668277,pedestrian
37.8506,92.8192,0.407788,3513.26,0.630347,pedestrian
24.2224,68.7505,0.352324,1665.3,0.748019,pedestrian
36.6324,79.2127,0.462456,2901.75,0.773986,pedestrian
24.7852,84.4865,0.293363,2094.01,0.711735,pedestrian
38.4401,83.828,0.458559,3222.36,0.625008,pedestrian
39.3521,73.8475,0.532883,2906.06,0.790272,pedestrian
35.3552,68.8884,0.513225,2435.56,0.869954,pedestrian
30.9025,87.6448,0.352588,2708.44,0.619118,pedestrian
18.7292,79.2347,0.236376,1484,0.648818,pedestrian
33.1643,55.4341,0.598265,1838.43,0.549992,pedestrian
34.9201,82.6764,0.422371,2887.07,0.74126,pedestrian
27.9435,81.0357,0.34483,2264.42,0.746513,pedestrian
40.716,82.4931,0.493569,3358.79,0.965465,pedestrian
35.6177,76.5741,0.46514,2727.39,0.987124,pedestrian
38.3765,84.9606,0.451697,3260.49,0.933434,pedestrian
31.6226,88.8898,0.35575,2810.93,0.91924,pedestrian
28.0826,77.663,0.361595,2180.98,0.573302,pedestrian
22.8027,88.862,0.256608,2026.29,0.756663,pedestrian
22.6912,78.1278,0.290437,1772.81,0.795944,pedestrian
32.2275,82.8988,0.388757,2671.62,0.675109,pedestrian
39.3039,71.2053,0.55198,2798.65,0.624362,pedestrian
29.1807,94.7825,0.30787,2765.82,0.665126,pedestrian
27.8891,60.8509,0.458319,1697.08,0.870487,pedestrian
22.0677,94.4375,0.233675,2084.02,0.883597,pedestrian
33.6659,87.6157,0.384245,2949.66,0.700111,pedestrian
32.7735,68.9578,0.475269,2259.99,0.738857,pedestrian
25.7795,77.1365,0.334206,1988.54,0.98895,pedestrian
30.2871,93.5882,0.323621,2834.51,0.778003,pedestrian
29.4808,69.3368,0.425183,2044.1,0.537717,pedestrian
28.663,88.4357,0.324111,2534.83,0.583108,pedestrian
25.1644,72.983,0.344799,1836.58,0.957627,pedestrian
26.4909,94.3675,0.280721,2499.88,0.979351,pedestrian
26.997,72.6257,0.371728,1960.67,0.58484,pedestrian
29.2836,76.9182,0.380711,2252.44,0.823424,pedestrian
27.2079,66.6216,0.408395,1812.63,0.629975,pedestrian
23.2377,72.0176,0.322667,1673.53,0.72662,pedestrian
22.537,75.9645,0.296678,1712.01,0.5381,pedestrian
38.6387,73.537,0.525433,2841.38,0.970266,pedestrian
21.3484,90.3716,0.236229,1929.29,0.582417,pedestrian
38.4234,81.4205,0.471913,3128.45,0.705628,pedestrian
37.6355,94.3618,0.398842,3551.36,0.914582,pedestrian
29.4601,73.8421,0.39896,2175.4,0.784541,pedestrian
27.5781,82.2524,0.335287,2268.37,0.956583,pedestrian
31.0934,96.3886,0.322584,2997.05,0.792575,pedestrian
34.0643,73.6276,0.462656,2508.07,0.602523,pedestrian
34.6208,66.4928,0.520669,2302.03,0.625721,pedestrian
26.6449,84.9441,0.313675,2263.33,0.523448,pedestrian
25.6395,83.3595,0.307577,2137.29,0.634336,pedestrian
27.8698,79.0843,0.352407,2204.07,0.653889,pedestrian
29.9918,92.7546,0.323346,2781.88,0.908193,pedestrian
36.7104,73.4491,0.499808,2696.35,0.892334,pedestrian
32.0686,53.9121,0.59483,1728.88,0.819681,pedestrian
30.2479,92.7399,0.326158,2805.18,0.777408,pedestrian
31.0156,96.1058,0.322723,2980.78,0.545501,pedestrian
38.593,78.9642,0.48874,3047.47,0.64898,pedestrian
31.8008,88.6607,0.35868,2819.49,0.761801,pedestrian
33.2287,78.5595,0.422974,2610.43,0.884459,pedestrian
34.8431,92.1216,0.37823,3209.8,0.533118,pedestrian
27.5933,73.9774,0.372996,2041.28,0.789825,pedestrian
30.6402,68.5195,0.447175,2099.45,0.670782,pedestrian
40.1607,94.9989,0.422749,3815.22,0.848834,pedestrian
19.1256,62.3587,0.306703,1192.65,0.590034,pedestrian
38.3687,90.7368,0.422857,3481.46,0.986555,pedestrian
26.2378,80.437,0.32619,2110.49,0.800968,pedestrian
27.3564,66.984,0.408402,1832.44,0.515902,pedestrian
33.0805,67.1971,0.492291,2222.92,0.774358,pedestrian
32.5647,68.3967,0.476115,2227.32,0.546145,pedestrian
19.2707,67.8151,0.284166,1306.85,0.740573,pedestrian
39.8673,69.4042,0.574422,2766.96,0.501298,pedestrian
30.6125,76.2094,0.40169,2332.96,0.934151,pedestrian
26.1238,83.1564,0.314153,2172.36,0.962021,pedestrian
30.9075,80.2375,0.385201,2479.94,0.618058,pedestrian
37.9856,81.2743,0.467375,3087.25,0.57387,pedestrian
30.9605,77.4708,0.39964,2398.53,0.566558,pedestrian
32.3552,89.0186,0.363465,2880.21,0.698582,pedestrian
34.3342,76.4179,0.449296,2623.75,0.552435,pedestrian
32.8809,82.2334,0.399848,2703.9,0.544602,pedestrian
26.1446,91.896,0.284502,2402.58,0.767668,pedestrian
24.0337,76.0897,0.31586,1828.72,0.824411,pedestrian
26.4872,58.2332,0.454848,1542.44,0.739791,pedestrian
32.7782,93.909,0.349042,3078.17,0.782229,pedestrian
37.8141,100.845,0.374973,3813.35,0.689386,pedestrian
28.5531,85.954,0.332191,2454.25,0.749124,pedestrian
33.5573,65.848,0.509617,2209.68,0.665174,pedestrian
23.7058,79.5869,0.29786,1886.67,0.543944,pedestrian
26.9145,91.888,0.292906,2473.12,0.902932,pedestrian
34.5394,84.5141,0.408682,2919.06,0.861448,pedestrian
30.8698,79.9121,0.386297,2466.87,0.910431,pedestrian
38.9156,79.1424,0.491716,3079.87,0.602539,pedestrian
31.4299,92.4197,0.340078,2904.74,0.983997,pedestrian
33.1931,97.09,0.34188,3222.72,0.853615,pedestrian
25.4515,82.1586,0.309785,2091.06,0.88389,pedestrian
25.6215,84.7683,0.302253,2171.89,0.796942,pedestrian
30.0648,78.0204,0.385345,2345.66,0.684615,pedestrian
76.6607,51.378,1.49209,3938.67,0.842286,car
124.805,41.5987,3.0002,5191.71,0.543934,car
87.7142,52.7871,1.66166,4630.18,0.55335,car
99.1399,57.7304,1.71729,5723.39,0.925364,car
118.06,42.549,2.77469,5023.34,0.963225,car
93.2831,46.9496,1.98688,4379.6,0.860798,car
108.356,52.853,2.05014,5726.95,0.593202,car
106.383,53.0967,2.00357,5648.59,0.617846,car
102.921,39.7563,2.58881,4091.78,0.841491,car
108.908,54.9215,1.98298,5981.41,0.725974,car
103.547,63.2507,1.63708,6549.4,0.719372,car
106.63,54.2475,1.96563,5784.44,0.788743,car
80.6391,50.3295,1.60222,4058.53,0.614513,car
85.474,45.5174,1.87783,3890.55,0.771425,car
90.8225,56.5422,1.60628,5135.3,0.583365,car
77.5918,55.497,1.39812,4306.11,0.939315,car
99.612,56.0594,1.7769,5584.19,0.889286,car
120.47,54.9689,2.1916,6622.1,0.571564,car
89.0901,49.7671,1.79014,4433.76,0.551458,car
107.904,59.8526,1.80284,6458.36,0.768241,car
73.6418,65.0341,1.13236,4789.23,0.76993,car
90.6469,50.3309,1.80102,4562.34,0.743179,car
94.3169,49.1894,1.91742,4639.39,0.782754,car
116.971,50.1636,2.33179,5867.69,0.85809,car
104.298,51.9585,2.00733,5419.18,0.613675,car
114.184,49.3282,2.31478,5632.47,0.711798,car
81.986,47.3608,1.73109,3882.92,0.863048,car
109.764,48.387,2.26847,5311.16,0.796481,car
108.069,48.8992,2.21004,5284.49,0.538661,car
114.46,46.2208,2.47637,5290.41,0.552123,car
94.3566,47.4252,1.98959,4474.88,0.918745,car
96.0487,47.5853,2.01845,4570.51,0.666073,car
91.2463,58.4929,1.55996,5337.26,0.872125,car
87.3444,40.4996,2.15667,3537.41,0.60279,car
115.826,44.3148,2.61371,5132.8,0.931759,car
105.704,48.7399,2.16873,5151.99,0.96148,car
66.5844,54.6528,1.21832,3639.02,0.516423,car
81.331,50.9681,1.59572,4145.29,0.956375,car
81.6428,45.8107,1.78218,3740.12,0.638794,car
105.66,56.233,1.87897,5941.59,0.610049,car
82.1836,52.5767,1.56312,4320.94,0.778653,car
100.941,49.7778,2.02783,5024.61,0.930316,car
101.787,43.2923,2.35115,4406.58,0.698659,car
83.9245,43.6385,1.92318,3662.33,0.713394,car
113.547,46.5585,2.4388,5286.56,0.688863,car
93.194,63.5389,1.46672,5921.45,0.918282,car
108.411,60.9081,1.77992,6603.13,0.767228,car
80.1912,51.4089,1.55987,4122.54,0.740544,car
99.7849,45.7051,2.18323,4560.68,0.537752,car
119.101,48.2082,2.47055,5741.62,0.876623,car
96.4676,50.7503,1.90083,4895.76,0.989466,car
106.166,58.4898,1.81511,6209.6,0.919894,car
112.291,52.0459,2.15755,5844.31,0.598057,car
96.9182,40.2649,2.40702,3902.4,0.752754,car
112.124,51.0354,2.19699,5722.29,0.778361,car
79.498,55.7767,1.42529,4434.14,0.860407,car
105.044,43.6548,2.40624,4585.67,0.661995,car
114.998,48.3451,2.37868,5559.58,0.543463,car
109.239,55.2201,1.97825,6032.19,0.851973,car
116.358,51.9819,2.23843,6048.5,0.955312,car
113.67,56.5312,2.01074,6425.9,0.517114,car
82.0161,47.2489,1.73583,3875.17,0.915327,car
91.9595,47.8341,1.92247,4398.8,0.609755,car
114.223,55.6983,2.05074,6362,0.987274,car
103.09,50.2313,2.0523,5178.33,0.735533,car
95.7396,51.7068,1.85159,4950.39,0.591054,car
66.592,56.3427,1.18191,3751.97,0.701275,car
127.342,55.2184,2.30615,7031.61,0.609012,car
122.248,56.9086,2.14814,6956.93,0.911292,car
87.9914,56.6182,1.55412,4981.91,0.764831,car
116.31,45.9245,2.53263,5341.48,0.748732,car
99.9012,49.1078,2.03432,4905.93,0.860101,car
89.0844,55.0667,1.61776,4905.58,0.816549,car
89.2144,44.5605,2.00209,3975.44,0.747137,car
103.086,47.027,2.19205,4847.8,0.711018,car
114.234,58.4234,1.95528,6673.95,0.676936,car
97.3295,49.2523,1.97614,4793.7,0.860766,car
101.766,54.9465,1.8521,5591.71,0.805202,car
106.662,49.2566,2.16543,5253.8,0.769921,car
98.4676,39.4713,2.49467,3886.64,0.581007,car
102.792,63.7908,1.61139,6557.19,0.672192,car
102.832,47.1193,2.18238,4845.37,0.67577,car
91.5487,63.8175,1.43454,5842.4,0.537967,car
119.86,44.3319,2.70369,5313.6,0.538883,car
92.8664,61.6752,1.50573,5727.56,0.543353,car
111.829,51.305,2.17968,5737.38,0.979085,car
115.434,55.5815,2.07684,6415.99,0.818616,car
108.299,54.8288,1.97523,5937.93,0.990288,car
108.813,50.7323,2.14485,5520.36,0.834959,car
103.205,48.3001,2.13674,4984.79,0.522083,car
131.272,47.8312,2.74448,6278.89,0.865512,car
84.988,45.6024,1.86368,3875.66,0.5963,car
88.4343,54.7499,1.61524,4841.77,0.527441,car
97.648,53.9413,1.81026,5267.26,0.727572,car
104.081,58.4842,1.77964,6087.09,0.780339,car
126.293,42.3556,2.98173,5349.21,0.740531,car
112.16,42.2952,2.65184,4743.82,0.786214,car
100.956,37.5199,2.69073,3787.85,0.901988,car
105.822,60.2814,1.75547,6379.11,0.713409,car
124.509,50.8718,2.4475,6333.98,0.938333,car
71.5406,42.882,1.66831,3067.8,0.966295,car
86.8707,47.374,1.83372,4115.42,0.535015,car
92.1955,40.8725,2.25568,3768.27,0.54585,car
131.172,45.9337,2.85569,6025.24,0.668185,car
102.022,49.192,2.07395,5018.65,0.648501,car
120.853,49.9468,2.41963,6036.21,0.926411,car
119.368,48.5016,2.46111,5789.52,0.52255,car
108.006,52.7605,2.04711,5698.47,0.554734,car
96.6985,40.8048,2.36978,3945.77,0.991165,car
88.5585,53.3785,1.65907,4727.12,0.942099,car
102.491,46.0435,2.22597,4719.06,0.918913,car
109.979,49.1049,2.23967,5400.48,0.615285,car
93.9863,53.0491,1.77168,4985.89,0.814889,car
98.4615,52.8114,1.8644,5199.89,0.608162,car
105.635,51.0643,2.06868,5394.2,0.757624,car
130.02,39.806,3.26635,5175.59,0.745593,car
92.0087,44.7298,2.05699,4115.53,0.63648,car
126.828,36.526,3.47227,4632.52,0.738338,car
97.7491,51.3779,1.90255,5022.14,0.640695,car
99.1717,50.7509,1.95409,5033.06,0.626325,car
92.4281,50.2154,1.84063,4641.31,0.785659,car
100.547,55.445,1.81346,5574.83,0.831056,car
101.591,60.3879,1.6823,6134.86,0.93408,car
113.245,50.9442,2.22292,5769.15,0.622643,car
96.7764,45.5449,2.12486,4407.67,0.965045,car
96.8051,42.9866,2.25198,4161.33,0.552917,car
107.132,49.4315,2.16729,5295.71,0.502573,car
88.8608,56.2412,1.57999,4997.64,0.909973,car
98.1703,55.1736,1.7793,5416.41,0.596566,car
102.756,45.1353,2.27661,4637.91,0.542049,car
77.2894,44.7078,1.72877,3455.44,0.504536,car
107.83,48.3013,2.23245,5208.35,0.90934,car
91.9548,48.0205,1.91491,4415.72,0.920061,car
95.3087,49.7215,1.91685,4738.89,0.696076,car
91.5533,52.9508,1.72903,4847.81,0.885427,car
106.686,46.6667,2.28613,4978.69,0.973649,car
92.7546,61.0808,1.51856,5665.53,0.52896,car
105.885,48.5961,2.17888,5145.6,0.537347,car
122.93,60.3525,2.03686,7419.11,0.691806,car
92.9614,56.622,1.64179,5263.66,0.532813,car
113.521,54.3873,2.08727,6174.1,0.500515,car
94.61,46.5939,2.03052,4408.25,0.579469,car
99.4236,50.6461,1.96311,5035.42,0.649187,car
108.14,57.792,1.87119,6249.6,0.919974,car
108.774,51.4598,2.11376,5597.48,0.92868,car
91.3188,52.585,1.73659,4802,0.98226,car
118.591,42.9719,2.75972,5096.06,0.862211,car
95.8757,43.3005,2.2142,4151.47,0.872919,car
96.5446,60.325,1.60041,5824.05,0.735766,car
104.245,53.0145,1.96635,5526.51,0.771616,car
94.2187,35.1122,2.68336,3308.23,0.508931,car
94.973,59.7591,1.58926,5675.5,0.898399,car
96.9183,59.0062,1.64251,5718.78,0.62377,car
106.166,59.8287,1.7745,6351.77,0.779206,car
94.4273,56.9275,1.65873,5375.51,0.795132,car
93.1133,42.0413,2.21481,3914.6,0.716623,car
95.3793,49.5663,1.92428,4727.6,0.860944,car
123.554,51.971,2.37736,6421.21,0.828492,car
105.629,52.6203,2.00739,5558.25,0.551396,car
103.096,46.2764,2.22783,4770.91,0.785452,car
95.4018,43.1211,2.21242,4113.83,0.887902,car
99.8316,46.343,2.15419,4626.5,0.970619,car
90.6343,56.4507,1.60555,5116.37,0.661047,car
100.75,47.1734,2.13574,4752.72,0.988733,car
88.2548,50.7967,1.73741,4483.05,0.56211,car
107.585,52.1113,2.06453,5606.42,0.948111,car
116.598,55.1668,2.11355,6432.32,0.967601,car
120.42,40.7975,2.95166,4912.85,0.973675,car
106.712,64.4804,1.65496,6880.85,0.83041,car
115.182,47.9875,2.40026,5527.32,0.776501,car
105.57,49.8554,2.11752,5263.21,0.582,car
116.218,46.5218,2.49814,5406.66,0.719304,car
118.808,62.9819,1.88639,7482.77,0.807871,car
107.803,48.2102,2.23611,5197.22,0.664509,car
97.5516,56.2566,1.73405,5487.92,0.521831,car
120.058,48.8837,2.456,5868.89,0.580836,car
76.0311,49.9187,1.5231,3795.37,0.701631,car
106.072,44.9398,2.36031,4766.85,0.610281,car
95.558,52.1105,1.83376,4979.58,0.98039,car
83.8638,47.9803,1.74788,4023.81,0.707954,car
112.376,54.6087,2.05784,6136.72,0.752422,car
104.603,55.2427,1.89351,5778.53,0.77165,car
104.947,47.761,2.19733,5012.36,0.803094,car
131.123,49.5029,2.64879,6490.96,0.798862,car
113.603,40.7073,2.79072,4624.46,0.732906,car
107.197,42.3367,2.53202,4538.38,0.917999,car
91.3925,40.7575,2.24235,3724.93,0.81627,car
108.992,59.9419,1.81829,6533.17,0.686424,car
104.543,45.5843,2.2934,4765.51,0.548697,car
68.6819,49.356,1.39156,3389.87,0.70251,car
121.654,51.6531,2.35521,6283.81,0.826062,car
118.507,45.8856,2.58267,5437.77,0.656074,car
96.4569,49.4374,1.95109,4768.58,0.799357,car
112.564,50.1013,2.24673,5639.61,0.69833,car
90.8782,55.9733,1.6236,5086.75,0.665445,car
90.7966,49.0975,1.84931,4457.88,0.724389,car
105.09,42.4405,2.47617,4460.06,0.974292,car
89.356,63.1385,1.41524,5641.81,0.626264,car
81.8489,57.2341,1.43007,4684.55,0.766756,car
84.442,40.1796,2.10161,3392.85,0.890895,car
205.823,84.8049,2.42702,17454.8,0.769953,truck
160.646,76.5652,2.09816,12299.9,0.517094,truck
182.585,66.9489,2.72723,12223.9,0.844104,truck
145.253,76.7184,1.89333,11143.6,0.698689,truck
165.737,78.601,2.10859,13027.1,0.627112,truck
209.433,75.6098,2.76992,15835.2,0.760865,truck
128.242,79.5488,1.61212,10201.5,0.594175,truck
178.557,68.4058,2.61027,12214.4,0.865415,truck
158.123,74.7589,2.11511,11821.1,0.622074,truck
160.831,74.0744,2.17121,11913.5,0.915439,truck
180.14,72.6635,2.4791,13089.6,0.959339,truck
177.468,76.7846,2.31124,13626.8,0.800305,truck
206.307,71.0399,2.90411,14656.1,0.802477,truck
186.784,66.0898,2.82621,12344.5,0.659056,truck
174.124,72.0597,2.41638,12547.3,0.825256,truck
163.31,69.561,2.34772,11360,0.882595,truck
185.356,71.4772,2.59322,13248.7,0.687836,truck
167.77,82.1091,2.04325,13775.4,0.648435,truck
193.289,89.2774,2.16504,17256.3,0.781719,truck
143.189,87.043,1.64504,12463.6,0.69021,truck
192.24,90.9147,2.11451,17477.4,0.507334,truck
214.244,55.6389,3.85061,11920.3,0.793531,truck
149.02,89.5839,1.66347,13349.8,0.771182,truck
179.022,75.025,2.38616,13431.1,0.975739,truck
146.372,60.2913,2.42775,8824.97,0.697183,truck
171.792,73.6501,2.33254,12652.5,0.774707,truck
189.588,75.7817,2.50177,14367.3,0.715431,truck
187.098,86.8689,2.1538,16253,0.948357,truck
200.615,62.3144,3.21939,12501.2,0.597279,truck
146.266,74.128,1.97315,10842.4,0.583166,truck
216.941,76.8616,2.82249,16674.4,0.76613,truck
179.234,79.7018,2.24881,14285.3,0.790466,truck
160.412,74.4025,2.156,11935,0.911587,truck
175.085,77.8458,2.24913,13629.6,0.761241,truck
180.271,69.041,2.61107,12446.1,0.592614,truck
159.194,83.5405,1.90559,13299.1,0.958876,truck
166.993,85.371,1.95609,14256.4,0.76325,truck
153.548,70.8453,2.16736,10878.1,0.556152,truck
178.261,85.4461,2.08624,15231.7,0.587387,truck
220.921,80.2136,2.75416,17720.9,0.680386,truck
175.308,78.3756,2.23677,13739.9,0.65103,truck
173.53,60.4361,2.8713,10487.5,0.865979,truck
187.845,81.1291,2.31539,15239.7,0.574852,truck
178.711,80.2801,2.22609,14346.9,0.711972,truck
158.279,84.8394,1.86563,13428.3,0.767679,truck
161.057,74.2777,2.16831,11962.9,0.589223,truck
155.199,64.2905,2.41403,9977.82,0.628442,truck
148.732,80.0287,1.85848,11902.8,0.816008,truck
139.009,92.0684,1.50985,12798.4,0.722895,truck
183.34,69.4397,2.64027,12731,0.862258,truck
194.081,72.5388,2.67555,14078.4,0.886311,truck
177.799,81.1317,2.19149,14425.1,0.632448,truck
204.314,63.7219,3.20634,13019.3,0.67178,truck
192.614,59.8148,3.22018,11521.2,0.808578,truck
165.701,76.8489,2.1562,12734,0.820084,truck
194.771,70.3118,2.7701,13694.7,0.635574,truck
187.412,61.1577,3.0644,11461.7,0.595162,truck
203.793,72.7814,2.80007,14832.3,0.526169,truck
143.407,76.0206,1.88642,10901.9,0.666785,truck
140.008,74.8895,1.86953,10485.1,0.790238,truck
183.888,64.2921,2.8602,11822.6,0.711345,truck
196.224,72.0585,2.72312,14139.6,0.910903,truck
177.672,72.4604,2.45199,12874.2,0.987082,truck
169.6,66.7812,2.53963,11326.1,0.510013,truck
185.282,64.6034,2.86799,11969.8,0.546465,truck
187.306,81.958,2.2854,15351.2,0.628524,truck
176.713,97.1916,1.81819,17175,0.579652,truck
178.504,76.3988,2.33647,13637.5,0.531555,truck
161.844,61.1594,2.64626,9898.25,0.673161,truck
164.184,64.5893,2.54197,10604.5,0.619528,truck
170.783,74.1335,2.30372,12660.8,0.936668,truck
196.201,76.74,2.5567,15056.5,0.580882,truck
198.041,85.965,2.30374,17024.6,0.750576,truck
177.306,57.0546,3.10765,10116.1,0.698589,truck
183.613,93.0175,1.97396,17079.2,0.860711,truck
213.838,78.3575,2.72901,16755.8,0.570639,truck
159.552,70.106,2.27587,11185.5,0.978661,truck
181.562,71.093,2.55387,12907.8,0.786521,truck
184.189,73.0357,2.52191,13452.4,0.803185,truck
172.465,57.2777,3.01103,9878.37,0.569599,truck
167.688,83.9803,1.99675,14082.5,0.560881,truck
175.738,79.5925,2.20798,13987.5,0.739117,truck
170.722,66.2743,2.57599,11314.5,0.968225,truck
138.375,77.1768,1.79296,10679.3,0.938053,truck
160.821,86.3079,1.86334,13880.1,0.69323,truck
184.515,60.0921,3.07054,11087.9,0.782221,truck
157.968,74.1064,2.13164,11706.5,0.809749,truck
158.748,89.7554,1.76867,14248.5,0.648678,truck
164.793,69.9559,2.35567,11528.3,0.845809,truck
145.384,68.0721,2.13574,9896.62,0.809026,truck
182.522,68.685,2.65737,12536.5,0.586876,truck
144.513,68.4052,2.1126,9885.42,0.827862,truck
184.602,86.9437,2.12324,16050,0.827038,truck
179.412,71.1072,2.52312,12757.5,0.677118,truck
223.994,64.5392,3.47067,14456.4,0.981911,truck
